img_shape,d_norm,g_norm,FID
64,a,a,85.79692919780678
64,a,b,71.19867569493528
64,a,i,93.17947582586154
64,a,n,83.98231344788061
64,a,s,307.53169601122664
64,a,v,114.29953724293136
64,b,a,75.92398911527715
64,b,b,71.60391094537516
64,b,i,94.42461640947016
64,b,n,89.56878878410112
64,b,s,391.3827156388337
64,b,v,116.09105077646731
64,i,a,83.10119264670155
64,i,b,72.15719530951665
64,i,i,91.98783308094727
64,i,n,81.30994669563489
64,i,s,422.44334716399874
64,i,v,112.27393037267905
64,n,a,133.9956407812859
64,n,b,93.77028879990519
64,n,i,126.23075374966757
64,n,n,107.86380719702296
64,n,s,264.02062390876506
64,n,v,139.1615791693122
64,s,a,148.94887364535361
64,s,b,134.37784736146796
64,s,i,136.4201754807437
64,s,n,136.06982083231304
64,s,s,278.25332624326575
64,s,v,174.52762305540094
64,v,a,658.6658470096356
64,v,b,79.81566892714795
64,v,i,89.49503178595324
64,v,n,378.918111635681
64,v,s,322.5203551362595
64,v,v,164.42822210559706
128,a,a,417.95239785205615
128,a,b,422.7474465167447
128,a,i,442.9321463107013
128,a,n,407.5618322257032
128,a,s,387.74121067132944
128,a,v,156.8114597242626
128,b,a,445.51199385017014
128,b,b,401.0341102057449
128,b,i,425.12300202004593
128,b,n,406.9708653381339
128,b,s,397.49686271177137
128,b,v,162.8287486295426
128,i,a,397.07603519148944
128,i,b,484.7263051059555
128,i,i,434.32440453982895
128,i,n,419.4229652958843
128,i,s,391.3591376032946
128,i,v,139.84806195269306
128,n,a,399.1548095486967
128,n,b,262.70293067661976
128,n,i,274.1676640861273
128,n,n,385.28268406620253
128,n,s,399.3479278429603
128,n,v,174.04318111753747
128,s,a,159.34640583649548
128,s,b,91.28529362455194
128,s,i,131.26795983168995
128,s,n,214.31055133018225
128,s,s,238.60420538617677
128,s,v,182.24349879177203
128,v,a,454.88084899387405
128,v,b,416.6191461159317
128,v,i,435.68630345074786
128,v,n,447.7814265345729
128,v,s,412.4144306577004
128,v,v,157.8185768145272
